# exercise_name | source_file | expected_a0_hex | description
# control-flow gaps (continue, switch fall-through, nested switch,
# empty for-slots, early return), and data types (char, globals,
# pointers, structs).  All passed on first run; net is permanent so
# regressions in these areas surface immediately.

# operators & expressions
feat_ternary               | feat_ternary.c               | 0007 | ternary (a>b)?a:b
feat_logical_and           | feat_logical_and.c           | 0001 | (a>0) && (b>0)
feat_logical_or            | feat_logical_or.c            | 0001 | (a>0) || (b>0)
feat_short_circuit_and     | feat_short_circuit_and.c     | 0000 | && skips RHS side effect
feat_short_circuit_or      | feat_short_circuit_or.c      | 0000 | || skips RHS side effect
feat_post_increment        | feat_post_increment.c        | 0022 | int r=i++ ; r*10+i = 34
feat_pre_increment         | feat_pre_increment.c         | 002C | int r=++i ; r*10+i = 44
feat_compound_add          | feat_compound_add.c          | 0011 | += chain -> 17
feat_compound_mul          | feat_compound_mul.c          | 000C | *= via __mul -> 12
feat_compound_shift        | feat_compound_shift.c        | 0010 | <<= 4 -> 16

# control-flow gaps
feat_while_continue        | feat_while_continue.c        | 0019 | while+continue odd sum -> 25
feat_do_while_continue     | feat_do_while_continue.c     | 0019 | do/while + continue -> 25
feat_do_while_break        | feat_do_while_break.c        | 000A | do/while + break -> 10
feat_switch_fallthrough    | feat_switch_fallthrough.c    | 000B | switch case fall-through
feat_switch_no_default     | feat_switch_no_default.c     | 0007 | switch no-match, no default
feat_nested_switch         | feat_nested_switch.c         | 0017 | switch inside switch case
feat_break_inside_for_inside_while | feat_break_inside_for_inside_while.c | 0132 | inner break, outer continues
feat_for_empty_init        | feat_for_empty_init.c        | 000A | for(;cond;upd) empty init
feat_for_empty_update      | feat_for_empty_update.c      | 000A | for(init;cond;) empty update
feat_for_empty_cond        | feat_for_empty_cond.c        | 000A | for(init;;upd) empty cond
feat_early_return_inside_loop | feat_early_return_inside_loop.c | 0015 | return from inside for body

# data types & memory
feat_char_basic            | feat_char_basic.c            | 0008 | char c=5 ; c+3
feat_char_truncate         | feat_char_truncate.c         | 0034 | char narrowing of 0x1234
feat_char_arith            | feat_char_arith.c            | 0096 | char + char no overflow
feat_global_int            | feat_global_int.c            | 002A | global int read/write
feat_global_array          | feat_global_array.c          | 000A | global int[4] r/w
feat_pointer_basic         | feat_pointer_basic.c         | 002A | &x then *p read
feat_pointer_write         | feat_pointer_write.c         | 0063 | *p = v write-through
feat_pointer_param         | feat_pointer_param.c         | 004D | int* function parameter
feat_struct_basic          | feat_struct_basic.c          | 0007 | struct field r/w (.)
feat_struct_ptr            | feat_struct_ptr.c            | 0021 | struct* param, -> access
